,ID,Policy,Protocol,Destination,Port,Comment
0,1,ALLOW,ICMP,ANY,ANY,PING
1,2,ALLOW,TCP,10.17.246.151/32,49152-65535,Genetec HIGHT PORTS
2,3,ALLOW,UDP,10.17.246.151/32,49152-65535,Genetec HIGHT PORTS
3,4,ALLOW,TCP,10.17.246.151/32,15671,Servidor Genetec
4,5,ALLOW,TCP,10.17.246.151/32,5671,Servidor Genetec
5,6,ALLOW,TCP,10.17.246.151/32,8012,Servidor Genetec
6,7,ALLOW,TCP,10.17.246.151/32,5500,Servidor Genetec
7,8,ALLOW,TCP,10.17.246.151/32,5060,Servidor Genetec
8,9,ALLOW,TCP,10.17.246.151/32,960,Servidor Genetec
9,10,ALLOW,TCP,10.17.246.151/32,560,Servidor Genetec
10,11,ALLOW,TCP,10.17.246.151/32,558,Servidor Genetec
11,12,ALLOW,TCP,10.17.246.151/32,555,Servidor Genetec
12,13,ALLOW,UDP,10.17.246.151/32,555,Servidor Genetec
13,14,ALLOW,TCP,10.17.246.151/32,554,Servidor Genetec
14,15,ALLOW,UDP,10.17.246.151/32,554,Servidor Genetec
15,16,ALLOW,TCP,10.17.246.151/32,443,Servidor Genetec
16,17,ALLOW,TCP,10.17.246.151/32,80,Servidor Genetec
17,20,ALLOW,TCP,10.25.86.150/32,49152-65535,Cliente Genetec HIGHT PORTS
18,21,ALLOW,TCP,10.17.246.150/32,49152-65535,Genetec HIGHT PORTS
19,22,ALLOW,UDP,10.17.246.150/32,49152-65535,Genetec HIGHT PORTS
20,23,ALLOW,TCP,10.17.246.150/32,15671,Servidor Genetec
21,24,ALLOW,TCP,10.17.246.150/32,5671,Servidor Genetec
22,25,ALLOW,TCP,10.17.246.150/32,8012,Servidor Genetec
23,26,ALLOW,TCP,10.17.246.150/32,5500,Servidor Genetec
24,27,ALLOW,TCP,10.17.246.150/32,5060,Servidor Genetec
25,28,ALLOW,TCP,10.17.246.150/32,960,Servidor Genetec
26,29,ALLOW,TCP,10.17.246.150/32,560,Servidor Genetec
27,30,ALLOW,TCP,10.17.246.150/32,558,Servidor Genetec
28,31,ALLOW,TCP,10.17.246.150/32,555,Servidor Genetec
29,32,ALLOW,UDP,10.17.246.150/32,555,Servidor Genetec
30,33,ALLOW,TCP,10.17.246.150/32,554,Servidor Genetec
31,34,ALLOW,UDP,10.17.246.150/32,554,Servidor Genetec
32,35,ALLOW,TCP,10.17.246.150/32,443,Servidor Genetec
33,36,ALLOW,TCP,10.17.246.150/32,80,Servidor Genetec
34,37,ALLOW,TCP,10.19.86.0/24,80,CCTV
35,38,ALLOW,TCP,10.19.86.0/24,443,CCTV
36,39,ALLOW,TCP,10.19.86.0/24,554,CCTV
37,40,ALLOW,TCP,10.25.86.150/24,560,Cliente Genetec
38,41,ALLOW,TCP,10.92.94.151/32,49152-65535,VMCRADIR02
39,42,ALLOW,UDP,10.92.94.151/32,49152-65535,VMCRADIR02
40,43,ALLOW,TCP,10.92.94.151/32,15671,VMCRADIR02
41,44,ALLOW,TCP,10.92.94.151/32,5671,VMCRADIR02
42,45,ALLOW,TCP,10.92.94.151/32,8012,VMCRADIR02
43,46,ALLOW,TCP,10.92.94.151/32,5500,VMCRADIR02
44,47,ALLOW,TCP,10.92.94.151/32,5060,VMCRADIR02
45,48,ALLOW,TCP,10.92.94.151/32,960,VMCRADIR02
46,49,ALLOW,TCP,10.92.94.151/32,560,VMCRADIR02
47,50,ALLOW,TCP,10.92.94.151/32,558,VMCRADIR02
48,51,ALLOW,TCP,10.92.94.151/32,555,VMCRADIR02
49,52,ALLOW,UDP,10.92.94.151/32,555,VMCRADIR02
50,53,ALLOW,TCP,10.92.94.151/32,554,VMCRADIR02
51,54,ALLOW,UDP,10.92.94.151/32,554,VMCRADIR02
52,55,ALLOW,TCP,10.92.94.151/32,443,VMCRADIR02
53,56,ALLOW,TCP,10.92.94.151/32,80,VMCRADIR02
54,57,ALLOW,TCP,10.92.94.150/32,49152-65535,VMCRADIR01
55,58,ALLOW,UDP,10.92.94.150/32,49152-65535,VMCRADIR01
56,59,ALLOW,TCP,10.92.94.150/32,15671,VMCRADIR01
57,60,ALLOW,TCP,10.92.94.150/32,5671,VMCRADIR01
58,61,ALLOW,TCP,10.92.94.150/32,8012,VMCRADIR01
59,62,ALLOW,TCP,10.92.94.150/32,5500,VMCRADIR01
60,63,ALLOW,TCP,10.92.94.150/32,5060,VMCRADIR01
61,64,ALLOW,TCP,10.92.94.150/32,960,VMCRADIR01
62,65,ALLOW,TCP,10.92.94.150/32,560,VMCRADIR01
63,66,ALLOW,TCP,10.92.94.150/32,558,VMCRADIR01
64,67,ALLOW,TCP,10.92.94.150/32,555,VMCRADIR01
65,68,ALLOW,UDP,10.92.94.150/32,555,VMCRADIR01
66,69,ALLOW,TCP,10.92.94.150/32,554,VMCRADIR01
67,70,ALLOW,UDP,10.92.94.150/32,554,VMCRADIR01
68,71,ALLOW,TCP,10.92.94.150/32,443,VMCRADIR01
69,72,ALLOW,TCP,10.92.94.150/32,80,VMCRADIR01
70,73,DENY,ANY,ANY,ANY,Todo Bloqueado
